ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday_1,Black Friday_1_lower,Black Friday_1_upper,Black Friday_2,Black Friday_2_lower,Black Friday_2_upper,Promotion Ramadan_1,Promotion Ramadan_1_lower,Promotion Ramadan_1_upper,Promotion Ramadan_2,Promotion Ramadan_2_lower,Promotion Ramadan_2_upper,Soldes Été_1,Soldes Été_1_lower,Soldes Été_1_upper,Soldes Été_2,Soldes Été_2_lower,Soldes Été_2_upper,Tabaski_1,Tabaski_1_lower,Tabaski_1_upper,Tabaski_2,Tabaski_2_lower,Tabaski_2_upper,Tabaski_3,Tabaski_3_lower,Tabaski_3_upper,holidays,holidays_lower,holidays_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2022-01-01,13.0106193,12.635701622011561,17.169754442425564,13.0106193,13.0106193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013013182904713486,0.013013182904713486,0.013013182904713486,0.14675736133947398,0.14675736133947398,0.14675736133947398,0.3922350284347639,0.3922350284347639,0.3922350284347639,-0.2584908500000034,-0.2584908500000034,-0.2584908500000034,0.0,0.0,0.0,14.920023457860433
2022-01-02,13.010592240255821,3.66376173470242,8.110691470271101,13.010592240255821,13.010592240255821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010225932529256304,0.010225932529256304,0.010225932529256304,-0.5528904739056483,-0.5528904739056483,-0.5528904739056483,-0.30574738119567146,-0.30574738119567146,-0.30574738119567146,-0.2573690252392331,-0.2573690252392331,-0.2573690252392331,0.0,0.0,0.0,5.817159730747631
2022-01-03,13.010565180511644,7.4936779056399745,11.793972627067543,13.010565180511644,13.010565180511644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008667201461111378,0.008667201461111378,0.008667201461111378,-0.26701300899839353,-0.26701300899839353,-0.26701300899839353,-0.019467679728749146,-0.019467679728749146,-0.019467679728749146,-0.2562125307307558,-0.2562125307307558,-0.2562125307307558,0.0,0.0,0.0,9.536575022893503
2022-01-04,13.010538120767466,7.543708187049009,11.920129312963258,13.010538120767466,13.010538120767466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008472596496319092,0.008472596496319092,0.008472596496319092,-0.26568250972215735,-0.26568250972215735,-0.26568250972215735,-0.019111033025805566,-0.019111033025805566,-0.019111033025805566,-0.2550440731926709,-0.2550440731926709,-0.2550440731926709,0.0,0.0,0.0,9.553865700006165
2022-01-05,13.010511061023287,7.2867042295181745,11.764404627136415,13.010511061023287,13.010511061023287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008834712412184358,0.008834712412184358,0.008834712412184358,-0.2757690639272216,-0.2757690639272216,-0.2757690639272216,-0.03072162623381461,-0.03072162623381461,-0.03072162623381461,-0.2538821501055913,-0.2538821501055913,-0.2538821501055913,0.0,0.0,0.0,9.422614604510132
2022-01-06,13.01048400127911,7.459606173321389,11.913989415722172,13.01048400127911,13.01048400127911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008397421729384739,0.008397421729384739,0.008397421729384739,-0.2507672062843934,-0.2507672062843934,-0.2507672062843934,-0.006423500000319729,-0.006423500000319729,-0.006423500000319729,-0.25274112801345844,-0.25274112801345844,-0.25274112801345844,0.0,0.0,0.0,9.74788127587055
2022-01-07,13.010456941534931,7.629034116413677,11.932992720514518,13.010456941534931,13.010456941534931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005898898921623297,0.005898898921623297,0.005898898921623297,-0.2564964426820932,-0.2564964426820932,-0.2564964426820932,-0.010763808248743262,-0.010763808248743262,-0.010763808248743262,-0.25163153335497324,-0.25163153335497324,-0.25163153335497324,0.0,0.0,0.0,9.673321018362675
2022-01-08,13.010429881790753,12.638382488089386,17.08371358566203,13.010429881790753,13.010429881790753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008045153269121818,0.0008045153269121818,0.0008045153269121818,0.1424790124892004,0.1424790124892004,0.1424790124892004,0.3922350284352907,0.3922350284352907,0.3922350284352907,-0.2505605312730025,-0.2505605312730025,-0.2505605312730025,0.0,0.0,0.0,14.864143083408283
2022-01-09,13.010402822046576,3.534976964267563,7.966222339602845,13.010402822046576,13.010402822046576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006329276479156374,-0.006329276479156374,-0.006329276479156374,-0.5616092181688748,-0.5616092181688748,-0.5616092181688748,-0.30574738119578604,-0.30574738119578604,-0.30574738119578604,-0.24953256049393233,-0.24953256049393233,-0.24953256049393233,0.0,0.0,0.0,5.703640665094876
2022-01-10,13.010375762302397,7.083546393322011,11.580625709085943,13.010375762302397,13.010375762302397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013919183618309704,-0.013919183618309704,-0.013919183618309704,-0.2819369496363985,-0.2819369496363985,-0.2819369496363985,-0.019467679727873388,-0.019467679727873388,-0.019467679727873388,-0.24855008629021544,-0.24855008629021544,-0.24855008629021544,0.0,0.0,0.0,9.342270106255526
