ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday_1,Black Friday_1_lower,Black Friday_1_upper,Black Friday_2,Black Friday_2_lower,Black Friday_2_upper,Promotion Ramadan_1,Promotion Ramadan_1_lower,Promotion Ramadan_1_upper,Promotion Ramadan_2,Promotion Ramadan_2_lower,Promotion Ramadan_2_upper,Soldes Été_1,Soldes Été_1_lower,Soldes Été_1_upper,Soldes Été_2,Soldes Été_2_lower,Soldes Été_2_upper,Tabaski_1,Tabaski_1_lower,Tabaski_1_upper,Tabaski_2,Tabaski_2_lower,Tabaski_2_upper,Tabaski_3,Tabaski_3_lower,Tabaski_3_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2022-01-01,10.5334401,11.381979066454852,14.675942330247114,10.5334401,10.5334401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23794282514719547,0.23794282514719547,0.23794282514719547,0.38198397514719296,0.38198397514719296,0.38198397514719296,-0.1440411499999975,-0.1440411499999975,-0.1440411499999975,0.0,0.0,0.0,13.039796595912758
2022-01-02,10.533350764249999,4.2177979508561,7.517110375992415,10.533350764249999,10.533350764249999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4497373244337932,-0.4497373244337932,-0.4497373244337932,-0.3059059870892364,-0.3059059870892364,-0.3059059870892364,-0.14383133734455683,-0.14383133734455683,-0.14383133734455683,0.0,0.0,0.0,5.796109774213553
2022-01-03,10.5332614285,7.2820330890609055,10.517867059371534,10.5332614285,10.5332614285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15163913995807304,-0.15163913995807304,-0.15163913995807304,-0.008167094556211951,-0.008167094556211951,-0.008167094556211951,-0.14347204540186106,-0.14347204540186106,-0.14347204540186106,0.0,0.0,0.0,8.936006724528717
2022-01-04,10.53317209275,7.335286648064474,10.383224673125868,10.53317209275,10.53317209275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15724547762744495,-0.15724547762744495,-0.15724547762744495,-0.014266521346530184,-0.014266521346530184,-0.014266521346530184,-0.14297895628091478,-0.14297895628091478,-0.14297895628091478,0.0,0.0,0.0,8.876878416093453
2022-01-05,10.533082756999999,7.092250379479959,10.306829581547245,10.533082756999999,10.533082756999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17470746015730776,-0.17470746015730776,-0.17470746015730776,-0.032339059133811465,-0.032339059133811465,-0.032339059133811465,-0.1423684010234963,-0.1423684010234963,-0.1423684010234963,0.0,0.0,0.0,8.692874620897797
2022-01-06,10.53299342125,7.391422099859698,10.55588629119514,10.53299342125,10.53299342125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1447401131326128,-0.1447401131326128,-0.1447401131326128,-0.0030831000003194303,-0.0030831000003194303,-0.0030831000003194303,-0.1416570131322934,-0.1416570131322934,-0.1416570131322934,0.0,0.0,0.0,9.008446761833207
2022-01-07,10.532904085499998,7.229885597983737,10.506149035400542,10.532904085499998,10.532904085499998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15908365075659375,-0.15908365075659375,-0.15908365075659375,-0.018222213019427558,-0.018222213019427558,-0.018222213019427558,-0.1408614377371662,-0.1408614377371662,-0.1408614377371662,0.0,0.0,0.0,8.857291250509617
2022-01-08,10.532814749749999,11.475911076781856,14.65887452408871,10.532814749749999,10.532814749749999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24198587411031394,0.24198587411031394,0.24198587411031394,0.38198397514771365,0.38198397514771365,0.38198397514771365,-0.13999810103739968,-0.13999810103739968,-0.13999810103739968,0.0,0.0,0.0,13.08160713381026
2022-01-09,10.532725414,4.269922244784619,7.412249740121603,10.532725414,10.532725414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.444989028769245,-0.444989028769245,-0.444989028769245,-0.30590598708933614,-0.30590598708933614,-0.30590598708933614,-0.13908304167990884,-0.13908304167990884,-0.13908304167990884,0.0,0.0,0.0,5.845778161730995
2022-01-10,10.532636078249999,7.498767348632878,10.504156225667407,10.532636078249999,10.532636078249999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1462988973267205,-0.1462988973267205,-0.1462988973267205,-0.008167094555326215,-0.008167094555326215,-0.008167094555326215,-0.13813180277139428,-0.13813180277139428,-0.13813180277139428,0.0,0.0,0.0,8.99172303405839
